#tid	superkingdom	OULU-49	OULU-296	OULU-341	OULU-372	OULU-479	OULU-560	OULU-638	OULU-644	OULU-685	OULU-785	OULU-13	OULU-74	OULU-169	OULU-301	OULU-331	OULU-360	OULU-393	OULU-402	OULU-444	OULU-461	OULU-488	OULU-494	OULU-545	OULU-794	OULU-29	OULU-102	OULU-228	OULU-232	OULU-255	OULU-314	OULU-335	OULU-386	OULU-390	OULU-481	OULU-486	OULU-500	OULU-516	OULU-648	OULU-701	OULU-68	OULU-226	OULU-277	OULU-308	OULU-342	OULU-408	OULU-497	OULU-574	OULU-583	OULU-647	OULU-115	OULU-139	OULU-152	OULU-171	OULU-183	OULU-661	OULU-703	OULU-709	OULU-722	OULU-833	OULU-835	OULU-847	OULU-848	OULU-869	OULU-870	OULU-878	OULU-884	OULU-888	OULU-895
-1	unmaped	1750226	589752	52291	851961	51106	69252	329713	37398	1017202	1311019	1794416	2896872	1812873	1727527	1301960	684731	1070375	1136724	1055831	1773239	2330373	3427251	2463796	3362798	111451	169493	230750	98245	465815	381689	13003	204257	616673	182435	443147	422649	375986	467967	260260	1813533	1911384	1558947	1414320	1896046	2369306	1910600	2276293	3077306	1387877	1050455	2485391	4167379	2205066	1098433	2837350	3264705	2349711	2721758	9695035	3384930	161879	3729060	3693291	2454085	3064674	3526458	6043745	5966022
10239	Viruses	244	474	116	167	5617	302	2279	22803	5849	1900	29	1976	167	579	19087	160	86	2507	880	86	1094	2175	159	2238	17024	1040	1412	12670	636	6917	372	1812	9042	2323	648	329	13516	7416	1764	2079	8831	908	297	405	1698	4567	747	713	572	553	15	460	282	986	7	793	19	5474	1591	1626	54	198	3663	13930	2739	25826	1324	27
2	Bacteria	1417599	2138981	363686	1228496	395066	4356024	5617423	5794184	1834296	5157739	2077287	1073372	2210066	1525460	1738263	1614238	2026512	3039083	2071325	2823277	3785957	2077733	2846782	3995216	2767641	2767483	2394580	3048504	2515066	3036355	309863	2416055	2603127	3600329	3761860	5510197	4157505	5976554	3096352	2226613	1756298	1655688	1857096	2143504	1897682	2475523	3501119	2030267	3372584	2113366	9069131	6914812	8511279	2810216	8413898	7677579	7527301	7445994	9192957	10467694	429084	16533287	7076924	8561751	7146382	9674486	5847438	4780333
2157	Archaea	0	0	0	4	0	0	0	0	0	0	0	71305	0	1	19667	0	0	1	0	157	0	0	1	0	0	0	0	3	0	1	29	0	0	0	0	0	0	0	0	0	2901	0	0	0	0	0	0	0	0	235127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
2759	Eukaryota	4	48	1149866	158	775	103	20	74	11960	311	102	126	88	26	213	26	73	492	174	140	88	186	202	180	27	68	45	56	35	8	6	35	4	18	56	25	202	243	77	2213	119	223	160	25	39	110	155	242	1664	463	428	2740	261	604	27	1376	161	277	897	421	47	444	133	30	172	338	8360	189
