#tid	superkingdom	kingdom	phylum	OULU-49	OULU-296	OULU-341	OULU-372	OULU-479	OULU-560	OULU-638	OULU-644	OULU-685	OULU-785	OULU-13	OULU-74	OULU-169	OULU-301	OULU-331	OULU-360	OULU-393	OULU-402	OULU-444	OULU-461	OULU-488	OULU-494	OULU-545	OULU-794	OULU-29	OULU-102	OULU-228	OULU-232	OULU-255	OULU-314	OULU-335	OULU-386	OULU-390	OULU-481	OULU-486	OULU-500	OULU-516	OULU-648	OULU-701	OULU-68	OULU-226	OULU-277	OULU-308	OULU-342	OULU-408	OULU-497	OULU-574	OULU-583	OULU-647	OULU-115	OULU-139	OULU-152	OULU-171	OULU-183	OULU-661	OULU-703	OULU-709	OULU-722	OULU-833	OULU-835	OULU-847	OULU-848	OULU-869	OULU-870	OULU-878	OULU-884	OULU-888	OULU-895
1224	Bacteria	NA	Proteobacteria	0.663030991274379	0.994659118196651	0.000870382019286285	0.000575441657271973	0.00290904846533103	0.996158809859259	0.107281423430496	0.949641682523733	0.00161646560913566	0.644310894967938	0.00820741914938934	0.00654833334996678	0.00511749456397391	0.0198719265775632	0.500726964797967	0.0148196160181486	0.0237877261024135	0.00587837562295628	0.0979662044887174	0.00212007134238168	0.0146347003929089	0.0339485379792512	0.0050066211411835	0.0341740109103697	0.900847364270937	0.183548670523709	0.171775111276818	0.622273760380444	0.000705492857246072	0.000186380523729272	0.00143756403955495	0.66635433566096	0.515365014673972	0	0.000275351128939629	0	0.570886299722812	0.478126600319061	0.136098986230006	0.162938709356191	0.0356106185911445	0.0103654172171031	0.00346215803784338	0.0233415830101425	0.0126290113769953	0.218762728213334	0.0107866209444084	0.0473119532051302	0.00107385636796826	0.159421031744071	0.00153747142341268	0.0182842125474008	0	0.00229766201677235	0.000286261021951849	0.00987917800075735	0.00819185768254535	0.00507724762240488	0.125952232289963	0.0117071143083101	0.0115026390012421	0.0147506873690272	0.0912390363766519	0.001754240034253	0.110158650180408	0.750677193708713	0.0328444916942261	0.0151862812466047
12333	Viruses	NA	unclassified bacterial viruses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212652597553799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1239	Bacteria	NA	Firmicutes	0.00340847818034763	0.000508341123433883	0.239076384657213	0.373837696652567	0.963168562820518	0.000267690706703466	0.885331028879314	0.0455564576926058	0.307290976299688	0.351942108545278	0.504394925963797	0.747234976695545	0.735820711939418	0.474228264749367	0.469688689945354	0.148251120389235	0.396347231242814	0.55711952614433	0.585816885723574	0.917698609687562	0.508173414314122	0.783845284755444	0.672351682027464	0.260937084902838	0.00132456354983031	0.0383968328193946	0.00622292779757349	0.00712770188204478	0.413739805646213	0.264058752005093	0.974872129390684	0.0268852565705261	0.479700751345653	0.0319101342427544	0.120559184292656	0.0425723158056874	0.014751225262082	0.018322345121615	0.00268945059643535	0.381183393327492	0.591902785748664	0.579982861505396	0.828104314423478	0.409909330222171	0.60783664408609	0.465747912290511	0.728776097584953	0.441898905370754	0.825625945961859	0.117753804240336	0.099758061202395	0.202299426790829	0.0356755912536725	0.44522798854238	0.0193907892251176	0.119005474674183	0.00962518427584767	0.164200776727755	0.630468755226666	0.688264507147957	0.127042171199649	0.257200083245396	0.170781877839422	0.111218936172315	0.0606756732013344	0.214298235875313	0.388828279980377	0.0647485964049908
1504823	Bacteria	NA	NA	0	0	0	0	0	0	0	0	0	0	0.0185041282646918	0.00810314364281092	0.00626637007857638	0.00649534156736002	0.000534543527987285	0.00134636508926004	0.00496477005767103	0.0204248037743109	0.00492647788386483	0.00118923636241454	0.018610729517609	0.0145447619587813	0.0217888955269302	0.00600211933742095	0	0	0	0	0	0	0	0	0	0	0	0	0.000153580887697531	0	0	0.0264015970211275	0.0031031907913783	0.0129924617183887	0.0126152157252739	0.0221868269245779	0.000804803911347009	0.023722824636403	0.0519659536076379	0.00208728381781888	0.020485011476118	0.00225057498882942	0	0.000197013152210436	0	0.000353771850226777	0	0.000102921958604872	0	0.000227231683786777	0.000327056367787482	0.00130034491460856	0.00115037490059708	0	0.000279651552066114	0	0	0	0.000124821184553041	0.00021103112901654
201174	Bacteria	NA	Actinobacteria	0.333378490108376	0.00451025996767453	0.000213840496109951	0.625187750540722	0.0161571570173269	0	0.00696211264027705	0.000847603492126388	0.000988493430072202	0.00329581450158381	0.123524629212481	0.0407255096028736	0.149201616167758	0.0379706145371867	0.00567314744277312	0.0122036461297824	0.103127706635935	0.397648239748333	0.140375264523997	0.0102884350431275	0.0688333010881782	0.0784218397370965	0.108549485177798	0.149389247979618	0.000210640564516713	0.770259415632474	0.04062734619421	0.365503232094922	0.0331211841407958	0.0186529424147682	0.0216144307365504	0.0036843318635486	0.000947404604386378	0.925700143848379	0.8748963170749	0.0383365722936656	0.184182354574009	0	0.860228799301469	0.111189203975257	0.23931441340657	0.3841823006863	0.0347905812589284	0.00584915082502485	0.0418552534165316	0.0135530540581952	0.0282346095255438	0.155707390782927	0.136252507977372	0.222085379088624	0.0176799813622616	0.160135462167395	0.000381041722308585	0.228856336918642	0.000784712801424702	0.851178057918443	0.0107392194004093	0.0269039393581906	0.0189063181060136	0.297942538579039	0.0878741943440679	0.0264851241555321	0.00256637424337705	0.0756469727006839	0.0352440100117081	0.0318442895175632	0.329261014687029	0.0557557782934139
203691	Bacteria	NA	Spirochaetes	0	0	0	0	0	0	0	0	0	0	0.000330861578209728	0.00143962953034749	0.000171320822339947	0.000133820650368361	0.000143970950208271	0	0	0.000104370632486033	0.000238981352634456	0.000138330740069459	0	0.000893226261516093	0.000162461010507486	0.000142691172921441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133561097872224	0.000460063082422652	0	0	0.000226341192818086	0.000346571684338386	0.000298802073686391	0.000125630709813511	0.000183341213718835	0.000110570655683988	0	0	0	0	0	0	0	0	0	0.000786945321825419	0	0	0	0	0	0	0	0.000111661059663456	0
28890	Archaea	NA	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0.0621788916242626	0	0	0.01106615303661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164069099262965	0	0	0	0	0	0	0	0	0.100075566503273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29258	Viruses	NA	ssDNA viruses	0	0	0	0	0	0	0	0	0.00036296125947557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000152490617587001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000143220746180088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32066	Bacteria	NA	Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000200340853452036	0	0	0	0	0	0	0
35237	Viruses	NA	dsDNA viruses, no RNA stage	0.000161850388440932	0.000221500489516082	0	0.000135870391306727	0.0139567006139988	0	0.000395474694284621	0.00391595613373927	0.0027902396821317	0.000365731609219081	0	0.00167002105553939	0	0.000369671796604932	0.0106473702726438	0	0	0.000815674942990156	0.000422412390854133	0	0.000285991375618517	0.00104440732129532	0	0.000535624402832591	0.00610627636482065	0.000350241393960748	0.000585591674792189	0.00410948261611163	0	0.000146250410963655	0.00118122331923753	0.000737012373179841	0.00340118652976654	0.00064141169332687	0.000170370698519864	0	0.0032387687200832	0.0012372750728278	0.000567792237101414	0.000924017595424633	0.00498804341989091	0.000547203020560674	0	0.000188200991819227	0.000893804343889111	0.00183922276420598	0.000210531189501221	0.000345842289475957	0.000158540940147775	0.0002029113513896	0	0	0	0.000347971819892618	0	0.00010054191331261	0	0.000733785437350091	0.000171373336638865	0.00015513297234775	0.000125690535441681	0	0.00051521285943137	0.00158709907820673	0.000329742245544692	0.00266018420996894	0.000224872134036552	0
